compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spin_d_carbon,spin_d_metal,egap,thermal_expansion,debye_temperature,formation_enthalpy,natoms,volume_cell,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity
Ag1C1,aflow:1f38ccafe2d28fa6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/4,225,cF8,"['Ag', 'C']",0.0,0.0,,,,2.23388,2,25.4245,4.66771291734409,,,,,
Ag1C1,aflow:251a1bdcc246b844,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/201,225,cF8,"['Ag', 'C']",0.0,0.0,,,,2.23382,2,25.4359,4.668410459427123,,,,,
Ag1C1,aflow:2c84cd06c8faa827,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/720.BA,225,cF8,"['Ag', 'C']",0.0,0.0,,,,2.23382,2,25.4359,4.668410459427123,,,,,
Ag1C1,aflow:4d0e5a73b8a361cf,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/720.AB,225,cF8,"['Ag', 'C']",0.0,0.0,,,,2.23382,2,25.4359,4.668410459427123,,,,,
Ag1C1,aflow:888eb1ac47489d36,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/ICSD_183175.AB,225,cF8,"['Ag', 'C']",0.0,0.0,,,,2.23382,2,25.4359,4.668410459427123,,,,,
Ag2C2,aflow:a4097eddcd5df0cd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/119,225,cF8,"['Ag', 'C']",0.0,0.0,,,,2.2328,4,50.8038,4.66632945409171,,,,,
Al1C1,aflow:17d0dd54d67209e7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/720.BA,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.485762,2,19.4472,4.268798847502474,,,,,
Al1C1,aflow:70a426f52fcb6273,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/201,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.485762,2,19.4472,4.268798847502474,,,,,
Al1C1,aflow:9ffee3ad9994f9a1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/720.AB,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.485762,2,19.4472,4.268798847502474,,,,,
Al2C2,aflow:02f185763b366132,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/448,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.485121,4,38.8982,4.268937864150703,,,,,
Al2C2,aflow:0750c9fde300c7b9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/447,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.485111,4,38.8967,4.26888299023959,,,,,
Al2C2,aflow:38b1d2816a63fcda,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/20,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.484823,4,38.9048,4.269179292601855,,,,,
Al2C2,aflow:40b23ce4632d808d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/77,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.484856,4,38.9021,4.269080529717806,,,,,
Al2C2,aflow:9a89d4ce35fc0bb6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/14,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.486812,4,38.9135,4.269497497481464,,,,,
Al3C3,aflow:799ac2f79febb96b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/136,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.486453,6,58.3331,4.268591525154436,,,,,
Al4C4,aflow:ba55928a41c867c4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/256,225,cF8,"['Al', 'C']",0.0,0.0,,,,0.485878,8,77.8084,4.269157345689188,,,,,
As1C1,aflow:107b112353b58826,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/201,225,cF8,"['As', 'C']",0.0,0.0,,,,1.48206,2,22.4802,4.480089815376233,,,,,
