compound,binding_metal,run_count,spinD_carbon_aflow,spinD_carbon_icsd,spinD_metal_aflow,spinD_metal_icsd,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,calculated_lattice_parameter,ael_bulk_modulus_vrh,ael_poisson_ratio_aflow,ael_poisson_ratio_icsd,ael_shear_modulus_vrh_aflow,ael_shear_modulus_vrh_icsd,ael_youngs_modulus_vrh_aflow,ael_youngs_modulus_vrh_icsd,agl_thermal_conductivity_300K_aflow,agl_thermal_conductivity_300K_icsd
Ag1C1,Ag,6,0.0,0.0,0.0,0.0,0.0,7.87e-05,181.934,2.2338320000000005,4.67235934503762,114.983,,0.445519,,13.0009,,37.5862,,0.868197
Ag2C2,Ag,1,0.0,,0.0,,,,,2.2328,4.66632945409171,,,,,,,,,
Al1C1,Al,3,0.0,,0.0,,,,,0.485762,4.268798847502474,,,,,,,,,
Al2C2,Al,5,0.0,,0.0,,,,,0.4853446,4.269115634838284,,,,,,,,,
Al3C3,Al,1,0.0,,0.0,,,,,0.486453,4.268591525154436,,,,,,,,,
Al4C4,Al,1,0.0,,0.0,,,,,0.485878,4.269157345689188,,,,,,,,,
As1C1,As,4,0.0,,0.0,,,,,1.482065,4.480056599311412,,,,,,,,,
Au1C1,Au,4,0.0,,0.0,,,,,2.0879725,4.6721210514215805,,,,,,,,,
Au2C2,Au,1,0.0,,0.0,,,,,2.08451,4.671167992362114,,,,,,,,,
B1C1,B,3,0.0,,0.0,,,,,1.4183200000000002,3.5934035582861052,,,,,,,,,
B2C2,B,2,0.0,,0.0,,,,,1.4210600000000002,3.5928613145509365,,,,,,,,,
Ba1C1,Ba,4,0.806,,0.149,,,,,1.3920024999999998,6.021984165101188,,,,,,,,,
Ba2C2,Ba,4,0.8067500000000001,,0.149,,,,,1.3922175,6.0211429013889255,,,,,,,,,
Be1C1,Be,3,0.0,,0.0,,,,,1.30177,3.867670501689311,,,,,,,,,
Bi1C1,Bi,4,0.0,,0.0,,,,,1.680525,5.138080958567156,,,,,,,,,
Bi2C2,Bi,1,0.0,,0.0,,,,,1.68055,5.138261510402349,,,,,,,,,
Br1C1,Br,4,0.0,,0.0,,,,,2.630745,4.957737109415744,,,,,,,,,
C1Ca1,Ca,4,0.815,,0.135,,,,,1.1306825,5.286418207813162,,,,,,,,,
C1Cd1,Cd,5,0.0,0.0,0.0,0.0,0.0,7.05804e-05,254.052,1.9777200000000001,4.85374270546126,100.944,,0.384193,,25.3362,,70.1405,,2.96884
C1Ce1,Ce,2,,0.0,,0.0,0.0,2.86091e-05,416.023,,5.190698322436448,130.533,,0.264698,,72.8587,,184.289,,28.801
C1Co1,Co,4,0.026,,0.274,,,,,0.8196567499999999,4.008847081990198,,,,,,,,,
C1Cr1,Cr,8,0.0,-0.38533333333333336,-0.0006000000000000001,2.573,0.0,4.1214600000000003e-05,617.5765,0.1733298,4.140623212476853,235.4375,0.308903,0.325967,108.553,87.8191,284.171,232.89,14.1711,20.8326
C1Cs1,Cs,2,1.193,,0.097,,,,,2.25759,6.816588674635319,,,,,,,,,
C1Cu1,Cu,3,0.0,,0.0,,,,,1.7004066666666666,4.216585964665081,,,,,,,,,
C1Fe1,Fe,4,0.0,,0.0,,,,,0.5981095,3.9937088596303982,,,,,,,,,
C1Ga1,Ga,4,0.0,,0.0,,,,,1.214235,4.390279851215162,,,,,,,,,
C1Ge1,Ge,5,0.0,0.0,0.0,0.0,0.0,5.09519e-05,561.051,1.28282125,4.388004024150018,164.558,,0.245246,,100.997,,251.532,,19.6338
C1Hf1,Hf,34,0.0,0.0,0.0,0.0,0.0,2.2552750000000002e-05,535.9845,-0.9471903227513228,4.650042571993383,238.58499999999998,0.189265,0.191862,186.35,185.706,443.239,442.671,65.1477,63.6972
C1Hg1,Hg,4,0.0,,0.0,,,,,2.2987025,4.909819248978874,,,,,,,,,
C1I1,I,4,0.0,,0.0,,,,,2.49298,5.232882079287128,,,,,,,,,
C1In1,In,6,0.0,,0.0,,,,,1.4965216666666665,4.830523079860814,,,,,,,,,
C1Ir1,Ir,4,0.022000000000000002,0.115,0.122,0.492,0.0,,,1.43596,4.394048008364285,,,,,,,,,
C1K1,K,4,1.219,,0.066,,,,,2.30599,6.179561539159307,,,,,,,,,
C1Li1,Li,3,0.002,,0.0,,,,,1.98438,4.277660720293785,,,,,,,,,
C1Mg1,Mg,3,0.0,,0.0,,,,,1.32484,4.622700228182999,,,,,,,,,
C1Mn1,Mn,4,-0.14,,2.221,,,,,0.30956175,4.095930920631537,,,,,,,,,
C1Mo1,Mo,10,0.0,0.0,0.0,0.0,0.0,2.0154850000000002e-05,648.4815,0.21219040000000003,4.388554887898266,329.8665,0.312958,0.265415,142.779,181.109,374.925,458.355,40.5291,58.2171
C1Na1,Na,3,1.231,,0.018,,,,,2.4929099999999997,5.474964121385521,,,,,,,,,
C1Nb1,Nb,42,0.0,0.0,0.0,0.0,0.0,1.862735e-05,734.0365,-0.5426602222222222,4.49675669264413,299.1495,0.230638,0.22431,196.74,201.772,484.231,494.064,75.4542,78.8903
C1Ni1,Ni,5,0.0,0.0,0.0,0.0,0.0,3.90586e-05,496.981,1.101345,4.048133749132768,264.689,,0.379263,,69.5103,,191.746,,12.2368
C1Os1,Os,4,0.0,0.0,0.0,0.0,0.0,,,1.38649,4.36021873432001,,,,,,,,,
C1P1,P,4,0.0,,0.0,,,,,1.185695,4.162654555345528,,,,,,,,,
