compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
Ag1C1,aflow:1f38ccafe2d28fa6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/4,225,cF8,"['Ag', 'C']","[0, 0]",,,,2.23388,2,25.4245,,,,,
Ag1C1,aflow:251a1bdcc246b844,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/201,225,cF8,"['Ag', 'C']","[0, 0]",,,,2.23382,2,25.4359,,,,,
Ag1C1,aflow:2c84cd06c8faa827,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/720.BA,225,cF8,"['Ag', 'C']","[0, 0]",,,,2.23382,2,25.4359,,,,,
Ag1C1,aflow:4d0e5a73b8a361cf,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/720.AB,225,cF8,"['Ag', 'C']","[0, 0]",,,,2.23382,2,25.4359,,,,,
Ag1C1,aflow:7726f25d86a7ac89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1C1_ICSD_183175,225,cF8,"['Ag', 'C']","[0, 0]",0.0,7.87e-05,181.934,,2,25.5675,114.983,0.445519,13.0009,37.5862,0.868197
Ag1C1,aflow:888eb1ac47489d36,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/ICSD_183175.AB,225,cF8,"['Ag', 'C']","[0, 0]",,,,2.23382,2,25.4359,,,,,
Ag2C2,aflow:a4097eddcd5df0cd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/119,225,cF8,"['Ag', 'C']","[0, 0, 0, 0]",,,,2.2328,4,50.8038,,,,,
Al1C1,aflow:17d0dd54d67209e7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/720.BA,225,cF8,"['Al', 'C']","[0, 0]",,,,0.485762,2,19.4472,,,,,
Al1C1,aflow:70a426f52fcb6273,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/201,225,cF8,"['Al', 'C']","[0, 0]",,,,0.485762,2,19.4472,,,,,
Al1C1,aflow:9ffee3ad9994f9a1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/720.AB,225,cF8,"['Al', 'C']","[0, 0]",,,,0.485762,2,19.4472,,,,,
Al2C2,aflow:02f185763b366132,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/448,225,cF8,"['Al', 'C']","[0, 0, 0, 0]",,,,0.485121,4,38.8982,,,,,
Al2C2,aflow:0750c9fde300c7b9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/447,225,cF8,"['Al', 'C']","[0, 0, 0, 0]",,,,0.485111,4,38.8967,,,,,
Al2C2,aflow:38b1d2816a63fcda,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/20,225,cF8,"['Al', 'C']","[0, 0, 0, 0]",,,,0.484823,4,38.9048,,,,,
Al2C2,aflow:40b23ce4632d808d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/77,225,cF8,"['Al', 'C']","[0, 0, 0, 0]",,,,0.484856,4,38.9021,,,,,
Al2C2,aflow:9a89d4ce35fc0bb6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/14,225,cF8,"['Al', 'C']","[0, 0, 0, 0]",,,,0.486812,4,38.9135,,,,,
Al3C3,aflow:799ac2f79febb96b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/136,225,cF8,"['Al', 'C']","[0, 0, 0, 0, 0, 0]",,,,0.486453,6,58.3331,,,,,
Al4C4,aflow:ba55928a41c867c4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/256,225,cF8,"['Al', 'C']","[0, 0, 0, 0, 0, 0, 0, 0]",,,,0.485878,8,77.8084,,,,,
As1C1,aflow:107b112353b58826,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/201,225,cF8,"['As', 'C']","[0, 0]",,,,1.48206,2,22.4802,,,,,
As1C1,aflow:5aa863a7336768eb,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/720.BA,225,cF8,"['As', 'C']","[0, 0]",,,,1.48206,2,22.4802,,,,,
As1C1,aflow:6bfd38d61c81dd9f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/4,225,cF8,"['As', 'C']","[0, 0]",,,,1.48208,2,22.4782,,,,,
As1C1,aflow:a45a88c13a026cbd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/720.AB,225,cF8,"['As', 'C']","[0, 0]",,,,1.48206,2,22.4802,,,,,
Au1C1,aflow:2935fed31328dbd3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/4,225,cF8,"['Au', 'C']","[0, 0]",,,,2.08801,2,25.4909,,,,,
Au1C1,aflow:4145230b5201b8ee,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/720.BA,225,cF8,"['Au', 'C']","[0, 0]",,,,2.08796,2,25.4985,,,,,
Au1C1,aflow:42601f5bda87f016,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/720.AB,225,cF8,"['Au', 'C']","[0, 0]",,,,2.08796,2,25.4985,,,,,
Au1C1,aflow:923806b166275351,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/201,225,cF8,"['Au', 'C']","[0, 0]",,,,2.08796,2,25.4985,,,,,
Au2C2,aflow:d07066fcb4ab123e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AuC/447,225,cF8,"['Au', 'C']","[0, 0, 0, 0]",,,,2.08451,4,50.962,,,,,
B1C1,aflow:2871c0a4d75aff0b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/720.AB,225,cF8,"['B', 'C']","[0, 0]",,,,1.41832,2,11.6,,,,,
B1C1,aflow:c912c0d573c0ae57,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/720.BA,225,cF8,"['B', 'C']","[0, 0]",,,,1.41832,2,11.6,,,,,
B1C1,aflow:cf93a9ede3ab39eb,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/201,225,cF8,"['B', 'C']","[0, 0]",,,,1.41832,2,11.6,,,,,
B2C2,aflow:09c6a42684d071af,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/119,225,cF8,"['B', 'C']","[0, 0, 0, 0]",,,,1.42094,4,23.181,,,,,
B2C2,aflow:be39bd0baf275064,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/448,225,cF8,"['B', 'C']","[0, 0, 0, 0]",,,,1.42118,4,23.198,,,,,
Ba1C1,aflow:3d7c87186585bd5c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/720.BA,225,cF8,"['Ba', 'C']","[0.149, 0.806]",,,,1.39193,2,54.5947,,,,,
Ba1C1,aflow:425d69d2ed19802d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/720.AB,225,cF8,"['Ba', 'C']","[0.149, 0.806]",,,,1.39193,2,54.5947,,,,,
Ba1C1,aflow:5e62b59a121befe4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/201,225,cF8,"['Ba', 'C']","[0.149, 0.806]",,,,1.39193,2,54.5947,,,,,
Ba1C1,aflow:f6641b23cd252f2e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/4,225,cF8,"['Ba', 'C']","[0.149, 0.806]",,,,1.39222,2,54.5989,,,,,
Ba2C2,aflow:339b48bcb114c4c0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/197,225,cF8,"['Ba', 'C']","[0.149, 0.149, 0.807, 0.807]",,,,1.39226,4,109.126,,,,,
Ba2C2,aflow:85033a12ea331bec,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/77,225,cF8,"['Ba', 'C']","[0.149, 0.149, 0.807, 0.807]",,,,1.39227,4,109.218,,,,,
Ba2C2,aflow:9b66ac6561cbafb8,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/71,225,cF8,"['Ba', 'C']","[0.149, 0.149, 0.807, 0.807]",,,,1.39205,4,109.113,,,,,
Ba2C2,aflow:bb7ea2f28dc46ade,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/14,225,cF8,"['Ba', 'C']","[0.149, 0.149, 0.806, 0.806]",,,,1.39229,4,109.126,,,,,
Be1C1,aflow:9ea4d5b3ab249d3b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/201,225,cF8,"['Be', 'C']","[0, 0]",,,,1.30177,2,14.464,,,,,
Be1C1,aflow:cb1a759c8e8866ad,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.AB,225,cF8,"['Be', 'C']","[0, 0]",,,,1.30177,2,14.464,,,,,
Be1C1,aflow:f537e74e65be3a0e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.BA,225,cF8,"['Be', 'C']","[0, 0]",,,,1.30177,2,14.464,,,,,
Bi1C1,aflow:06e34f9330c842de,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.AB,225,cF8,"['Bi', 'C']","[0, 0]",,,,1.68052,2,33.9123,,,,,
Bi1C1,aflow:0870c4a5c0c5d8b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/201,225,cF8,"['Bi', 'C']","[0, 0]",,,,1.68052,2,33.9123,,,,,
Bi1C1,aflow:2e7ee3cdb53de5d3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.BA,225,cF8,"['Bi', 'C']","[0, 0]",,,,1.68052,2,33.9122,,,,,
