compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
Ag1C1,aflow:7726f25d86a7ac89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1C1_ICSD_183175,225,cF8,"['Ag', 'C']","[0, 0]",0,7.87e-05,181.934,,2,25.5675,114.983,0.445519,13.0009,37.5862,0.868197
C1Cd1,aflow:228515a5e5c206a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cd1_ICSD_183177,225,cF8,"['C', 'Cd']","[0, 0]",0,7.05804e-05,254.052,,2,28.6,100.944,0.384193,25.3362,70.1405,2.96884
C1Ce1,aflow:04ca355af458d4a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,225,cF8,"['C', 'Ce']","[0, 0]",0,2.86091e-05,416.023,,2,34.9546,130.533,0.264698,72.8587,184.289,28.801
C1Ce1,aflow:8c6f386723161234,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_76769,225,cF8,"['C', 'Ce']","[0, 0]",0,,,,2,34.9728,,,,,
C1Cr1,aflow:a079dcce0f9df11e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_57008,225,cF8,"['C', 'Cr']","[-0.383, 2.569]",0,,,,2,18.5965,,,,,
C1Cr1,aflow:ad068074911a4b9b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_603179,225,cF8,"['C', 'Cr']","[-0.386, 2.575]",0,,,,2,18.6683,,,,,
C1Cr1,aflow:df3b1dca4b13cd2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_181710,225,cF8,"['C', 'Cr']","[-0.387, 2.575]",0,3.71808e-05,602.206,,2,18.692,223.033,0.325967,87.8191,232.89,20.8326
C1Ge1,aflow:8fea397ef68c9f59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ge1_ICSD_182364,225,cF8,"['C', 'Ge']","[0, 0]",0,5.09519e-05,561.051,1.28253,2,21.1011,164.558,0.245246,100.997,251.532,19.6338
C1Hf1,aflow:046344f57f96f998,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618012,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1306,,,,,
C1Hf1,aflow:1031a906d6c69629,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618010,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1251,,,,,
C1Hf1,aflow:1816b6ef01585430,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618013,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1306,,,,,
C1Hf1,aflow:18286b464067d75b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_22262,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947364,2,25.129,,,,,
C1Hf1,aflow:25be0269896a849d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618016,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1286,,,,,
C1Hf1,aflow:25c4c4493c9951be,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_658336,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947979,2,25.1587,,,,,
C1Hf1,aflow:262d6ed98d4e2449,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618017,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947981,2,25.1549,,,,,
C1Hf1,aflow:2d6558879a325b90,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618009,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947979,2,25.1337,,,,,
C1Hf1,aflow:3d14dafa0b983e6f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_185978,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947367,2,25.157,,,,,
C1Hf1,aflow:549dd4bfb5e47d59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618020,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947971,2,25.1215,,,,,
C1Hf1,aflow:57bfe7dcf5996ae5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_180600,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1285,,,,,
C1Hf1,aflow:5ea90ae725dab419,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618008,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947979,2,25.1349,,,,,
C1Hf1,aflow:6b88d0acce6b4be2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618002,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947365,2,25.1328,,,,,
C1Hf1,aflow:7942e3d3f1880e9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_181793,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947367,2,25.1568,,,,,
C1Hf1,aflow:84235ab433d829a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618015,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1312,,,,,
C1Hf1,aflow:860a8b2eed0acca4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618005,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1292,,,,,
C1Hf1,aflow:92d6b24b8eab0e1d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618011,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947979,2,25.1337,,,,,
C1Hf1,aflow:93de5cdf2d177f28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618003,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1251,,,,,
C1Hf1,aflow:b47a366c761301a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_108134,225,cF8,"['C', 'Hf']","[0, 0]",0,2.25939e-05,534.95,-0.947977,2,25.1286,239.433,0.191862,185.706,442.671,63.6972
C1Hf1,aflow:b4ded597920b5b86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617998,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1251,,,,,
C1Hf1,aflow:b9c23eaefce99ab9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_658398,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1285,,,,,
C1Hf1,aflow:bc1de4e7059afc64,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617997,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1259,,,,,
C1Hf1,aflow:be6d72090aeac184,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_159873,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1299,,,,,
C1Hf1,aflow:c1e3fc043f434484,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618004,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1304,,,,,
C1Hf1,aflow:d03317b40ac91dce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618018,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947979,2,25.1587,,,,,
C1Hf1,aflow:d7f08593d965949a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618001,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1251,,,,,
C1Hf1,aflow:dc287cb038048c4a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618000,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1257,,,,,
