compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,geometry
Ag1C1,aflow:7726f25d86a7ac89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1C1_ICSD_183175,225,cF8,"['Ag', 'C']","[3.30675, 3.30675, 3.30675, 60, 60, 60]"
C1Cd1,aflow:228515a5e5c206a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cd1_ICSD_183177,225,cF8,"['C', 'Cd']","[3.43263, 3.43263, 3.43263, 60, 60, 60]"
C1Ce1,aflow:04ca355af458d4a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,225,cF8,"['C', 'Ce']","[3.67006, 3.67006, 3.67006, 60, 60, 60]"
C1Ce1,aflow:8c6f386723161234,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_76769,225,cF8,"['C', 'Ce']","[3.6707, 3.6707, 3.6707, 60, 60, 60]"
C1Cr1,aflow:a079dcce0f9df11e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_57008,225,cF8,"['C', 'Cr']","[2.97382, 2.97382, 2.97382, 60, 60, 60]"
C1Cr1,aflow:ad068074911a4b9b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_603179,225,cF8,"['C', 'Cr']","[2.97765, 2.97765, 2.97765, 60, 60, 60]"
C1Cr1,aflow:df3b1dca4b13cd2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_181710,225,cF8,"['C', 'Cr']","[2.97891, 2.97891, 2.97891, 60, 60, 60]"
C1Ge1,aflow:8fea397ef68c9f59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ge1_ICSD_182364,225,cF8,"['C', 'Ge']","[3.10175, 3.10175, 3.10175, 60, 60, 60]"
C1Hf1,aflow:046344f57f96f998,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618012,225,cF8,"['C', 'Hf']","[3.28781, 3.28781, 3.28781, 60, 60, 60]"
C1Hf1,aflow:1031a906d6c69629,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618010,225,cF8,"['C', 'Hf']","[3.28756, 3.28756, 3.28756, 60, 60, 60]"
