compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh
Ag1C1,aflow:7726f25d86a7ac89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1C1_ICSD_183175,225,cF8,"['Ag', 'C']",114.983,0.445519,13.0009,37.5862
C1Cd1,aflow:228515a5e5c206a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cd1_ICSD_183177,225,cF8,"['C', 'Cd']",100.944,0.384193,25.3362,70.1405
C1Ce1,aflow:04ca355af458d4a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,225,cF8,"['C', 'Ce']",130.533,0.264698,72.8587,184.289
C1Cr1,aflow:df3b1dca4b13cd2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_181710,225,cF8,"['C', 'Cr']",223.033,0.325967,87.8191,232.89
C1Ge1,aflow:8fea397ef68c9f59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ge1_ICSD_182364,225,cF8,"['C', 'Ge']",164.558,0.245246,100.997,251.532
C1Hf1,aflow:b47a366c761301a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_108134,225,cF8,"['C', 'Hf']",239.433,0.191862,185.706,442.671
C1Mo1,aflow:e6168f280fcabded,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_183165,225,cF8,"['C', 'Mo']",325.65,0.265415,181.109,458.355
C1Nb1,aflow:dc96ddaddb6c935b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_155164,225,cF8,"['C', 'Nb']",298.683,0.22431,201.772,494.064
C1Ni1,aflow:e9301e24b4623b39,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ni1_ICSD_180457,225,cF8,"['C', 'Ni']",264.689,0.379263,69.5103,191.746
C1Pa1,aflow:fb1cd92584ed214f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pa1_ICSD_108177,225,cF8,"['C', 'Pa']",185.272,0.315993,77.7165,204.549
C1Pd1,aflow:fea5bd3abdf35cf1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pd1_ICSD_181774,225,cF8,"['C', 'Pd']",210.867,0.396147,47.056,131.394
C1Pt1,aflow:13435caa82fe4e49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181114,225,cF8,"['C', 'Pt']",259.283,0.422009,42.6618,121.331
C1Rh1,aflow:3a4b13f181909c0b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_181773,225,cF8,"['C', 'Rh']",280.367,0.390611,66.1628,184.014
C1Ru1,aflow:4990d46926dfee7a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ru1_ICSD_183169,225,cF8,"['C', 'Ru']",317.922,0.475088,16.1078,47.521
C1Sc1,aflow:ae57dbb8516508a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_181047,225,cF8,"['C', 'Sc']",146.644,0.294489,69.843,180.822
C1Si1,aflow:0e5c7dd4d4402dff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Si1_ICSD_182362,225,cF8,"['C', 'Si']",242.211,0.206966,176.416,425.857
C1Sn1,aflow:01f0334da2961bb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,225,cF8,"['C', 'Sn']",119.661,0.211036,85.6568,207.467
C1Ta1,aflow:d2ab410fef99ea61,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_155163,225,cF8,"['C', 'Ta']",315.444,0.237138,201.073,497.51
C1Tc1,aflow:3faccddce4b6bc29,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Tc1_ICSD_183167,225,cF8,"['C', 'Tc']",230.128,0.362243,69.8152,190.211
C1Th1,aflow:4e03466d19a9aba3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Th1_ICSD_260883,225,cF8,"['C', 'Th']",147.5,0.250005,88.4978,221.245
C1Ti1,aflow:dd9ba1426a59901e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ti1_ICSD_151365,225,cF8,"['C', 'Ti']",238.772,0.201768,177.762,427.257
C1Tl1,aflow:becbc8b7468a7e42,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Tl1_ICSD_618972,225,cF8,"['C', 'Tl']",85.1167,0.329857,32.6696,86.8919
C1V1,aflow:6ef93ac9f46062a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1V1_ICSD_159870,225,cF8,"['C', 'V']",295.661,0.206732,215.561,520.248
C1W1,aflow:870b2f189ea048d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1W1_ICSD_167896,225,cF8,"['C', 'W']",357.694,0.286673,177.914,457.835
C1Y1,aflow:10e56bff43e34aa4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Y1_ICSD_181049,225,cF8,"['C', 'Y']",124.4,0.279353,64.3648,164.691
C1Zr1,aflow:b652e182b2677f30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_159874,225,cF8,"['C', 'Zr']",220.867,0.212686,156.986,380.749
